ClientId,Period,FormularyId,MedId,IndicationName,UniversalStatusRollup,RawStatus
13104,202112,60049,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60055,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60066,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60111,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60121,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60165,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60165,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60222,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60293,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60293,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60388,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60409,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60452,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60452,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60461,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60531,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60750,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60750,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60755,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60755,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60842,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60843,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60903,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61085,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61088,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61477,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61477,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61489,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61512,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61513,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61543,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61543,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61695,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61829,593247,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61829,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,61839,594548,HER2-/HER+ Breast Cancer,Covered,Tier 3
13104,202112,60043,573941,Multiple Myeloma,Covered,Tier 3
13104,202112,60043,588362,Multiple Myeloma,Covered,Tier 3
13104,202112,60043,588501,Multiple Myeloma,Covered,Tier 3
13104,202112,60043,588502,Multiple Myeloma,Covered,Tier 3
13104,202112,60049,573941,Multiple Myeloma,Covered,Tier 3
13104,202112,60049,588362,Multiple Myeloma,Covered,Tier 3
13104,202112,60049,588418,Multiple Myeloma,Covered,Tier 3
13104,202112,60049,588421,Multiple Myeloma,Covered,Tier 3
13104,202112,60049,588501,Multiple Myeloma,Covered,Tier 3
13104,202112,60049,588502,Multiple Myeloma,Covered,Tier 3
13104,202112,60049,589926,Multiple Myeloma,Covered,Tier 3
13104,202112,60053,573941,Multiple Myeloma,Covered,Tier 3
13104,202112,60053,588362,Multiple Myeloma,Covered,Tier 3
13104,202112,60053,588501,Multiple Myeloma,Covered,Tier 3
13104,202112,60053,588502,Multiple Myeloma,Covered,Tier 3
13104,202112,60053,589926,Multiple Myeloma,Covered,Tier 3
13104,202112,60055,589926,Multiple Myeloma,Covered,Tier 3
13104,202112,60059,588501,Multiple Myeloma,Covered,Tier 3
13104,202112,60059,588502,Multiple Myeloma,Covered,Tier 3
13104,202112,60066,573941,Multiple Myeloma,Covered,Tier 3
